TimeStamp,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,DailyIncreaseTax
2020-03-23 20:32:04,Sweden,2046,112.0,25.0,4.0,16.0,2005,104.0,203,0.05791106514994837
2020-03-23 20:32:04,Brazil,1924,378.0,34.0,9.0,2.0,1888,18.0,9,0.24450194049159113
2020-03-23 20:32:04,Australia,1887,278.0,7.0,0.0,118.0,1762,11.0,74,0.17277812305779983
2020-03-23 20:32:04,Turkey,1529,293.0,37.0,7.0,0.0,1492,0.0,18,0.2370550161812297
2020-03-23 20:32:04,Malaysia,1518,212.0,14.0,4.0,159.0,1345,57.0,47,0.16232771822358338
2020-03-23 20:32:04,Denmark,1450,55.0,24.0,11.0,1.0,1425,55.0,250,0.03942652329749108
2020-03-23 20:32:04,Israel,1442,371.0,1.0,0.0,41.0,1400,29.0,167,0.34640522875817004
2020-03-23 20:32:04,Czechia,1236,116.0,1.0,0.0,7.0,1228,19.0,115,0.10357142857142865
2020-03-23 20:32:04,Japan,1128,27.0,42.0,1.0,235.0,851,49.0,9,0.02452316076294281
2020-03-23 20:32:04,Ireland,1125,219.0,6.0,2.0,5.0,1114,29.0,228,0.24172185430463577
2020-03-23 20:32:04,Ecuador,981,192.0,18.0,4.0,3.0,960,2.0,56,0.24334600760456282
2020-03-23 20:32:04,Luxembourg,875,77.0,8.0,0.0,6.0,861,3.0,"1,398",0.09649122807017552
2020-03-23 20:32:04,Pakistan,875,99.0,6.0,1.0,13.0,856,0.0,4,0.12757731958762886
2020-03-23 20:32:04,Poland,749,115.0,8.0,1.0,13.0,728,3.0,20,0.1813880126182965
2020-03-23 20:32:04,Chile,746,114.0,2.0,1.0,11.0,733,7.0,39,0.1803797468354431
2020-03-23 20:32:04,Thailand,721,122.0,1.0,0.0,52.0,668,7.0,10,0.20367278797996669
2020-03-23 20:32:04,Diamond Princess,712,0.0,8.0,0.0,567.0,137,15.0,,0.0
2020-03-23 20:32:04,Finland,700,74.0,1.0,0.0,10.0,689,13.0,126,0.1182108626198084
2020-03-23 20:32:04,Greece,695,71.0,17.0,2.0,29.0,649,35.0,67,0.11378205128205132
2020-03-23 20:32:04,Iceland,588,20.0,1.0,0.0,51.0,536,14.0,"1,723",0.035211267605633756
2020-03-23 20:32:04,Indonesia,579,65.0,49.0,1.0,30.0,500,0.0,2,0.1264591439688716
2020-03-23 20:32:04,Romania,576,143.0,7.0,4.0,73.0,496,15.0,30,0.3302540415704387
2020-03-23 20:32:04,Saudi Arabia,562,51.0,0.0,0.0,19.0,543,0.0,16,0.09980430528375739
2020-03-23 20:32:04,Singapore,509,54.0,2.0,0.0,152.0,355,14.0,87,0.1186813186813187
2020-03-23 20:32:04,Qatar,501,7.0,0.0,0.0,33.0,468,6.0,174,0.014170040485830038
2020-03-23 20:32:04,India,499,103.0,10.0,3.0,34.0,455,0.0,0.4,0.26010101010101017
2020-03-23 20:32:04,Philippines,462,82.0,33.0,8.0,18.0,411,1.0,4,0.21578947368421053
2020-03-23 20:32:04,Slovenia,442,28.0,3.0,1.0,0.0,439,12.0,213,0.06763285024154597
2020-03-23 20:32:04,Russia,438,71.0,1.0,0.0,17.0,420,0.0,3,0.19346049046321534
2020-03-23 20:32:04,South Africa,402,128.0,0.0,0.0,4.0,398,0.0,7,0.46715328467153294
2020-03-23 20:32:04,Peru,395,32.0,5.0,0.0,1.0,389,19.0,12,0.0881542699724518
2020-03-23 20:32:04,Bahrain,377,43.0,2.0,0.0,164.0,211,3.0,222,0.12874251497005984
2020-03-23 20:32:04,Egypt,366,39.0,19.0,5.0,68.0,279,0.0,4,0.11926605504587151
2020-03-23 20:32:04,Hong Kong,356,38.0,4.0,0.0,100.0,252,4.0,47,0.11949685534591192
